,ope,con,ext,agr,neu,positive,negative,anger,anticipation,disgust,fear,joy,sadness,surprise,trust
ope,1.0,0.018905093128416737,0.1589114702241307,0.0393611330585923,-0.0742083154181812,-0.03438988538035831,0.03167427583587232,0.04720099483170832,-0.06261444786873627,0.02711777682241154,0.03520567642330093,-0.04575966077080655,0.03575938978951895,0.0038068426687648464,-0.002108984761201755
con,0.018905093128416737,1.0,0.22773869532625937,0.18474885957651194,-0.32044133097938954,0.10358151588437978,-0.1069502105994401,-0.0609579325337994,0.07656753271056123,-0.06345438080929822,-0.05935335553756621,0.07794524395970305,-0.08834901971605331,0.03929304358872245,0.05659314629440299
ext,0.1589114702241307,0.22773869532625937,1.0,0.1781344368823696,-0.36312454413613365,0.04056432802877237,-0.03804604570479015,-0.02817317872709459,0.018872473046842943,-0.025373290866663838,-0.01790252831384122,0.05723433035159627,-0.027538819730162936,0.024355477997855625,0.012969450599171059
agr,0.0393611330585923,0.18474885957651194,0.1781344368823696,1.0,-0.34936779373838905,0.09027518303352297,-0.08731543183026254,-0.07947092251225568,0.06688526863229131,-0.06223212462282144,-0.04658660149148528,0.0814748814883755,-0.04271165082904441,0.04899541105586098,0.030544260281363363
neu,-0.0742083154181812,-0.32044133097938954,-0.36312454413613365,-0.34936779373838905,1.0,-0.06457834331239641,0.06949285753566958,0.03398801555396833,-0.03258453132405212,0.036293186850271865,0.041378478612917005,-0.04437608893826767,0.06282892915215511,-0.024087522098721417,-0.043311929221505625
positive,-0.03438988538035831,0.10358151588437978,0.04056432802877237,0.09027518303352297,-0.06457834331239641,1.0,-0.8212809748487622,-0.40713196037349275,0.3439657825007639,-0.3743297570636778,-0.3440705431413805,0.6256537079924682,-0.42299143083807117,0.22733090759942495,0.48955449944659846
negative,0.03167427583587232,-0.1069502105994401,-0.03804604570479015,-0.08731543183026254,0.06949285753566958,-0.8212809748487622,1.0,0.5011473470595682,-0.2511943780430175,0.4550215595037191,0.4586639391062748,-0.5270071177197647,0.5509959296229924,-0.14619126748790479,-0.3894942211108048
anger,0.04720099483170832,-0.0609579325337994,-0.02817317872709459,-0.07947092251225568,0.03398801555396833,-0.40713196037349275,0.5011473470595682,1.0,-0.31746543380666037,0.2976507924570333,0.2907684685544162,-0.4152358510795478,0.1689060306983505,-0.14161516425275564,-0.31999545390606726
anticipation,-0.06261444786873627,0.07656753271056123,0.018872473046842943,0.06688526863229131,-0.03258453132405212,0.3439657825007639,-0.2511943780430175,-0.31746543380666037,1.0,-0.30253213959773667,-0.30731130449095573,0.19669241862456022,-0.25059249641377757,0.14920054996575247,0.06058463279718452
disgust,0.02711777682241154,-0.06345438080929822,-0.025373290866663838,-0.06223212462282144,0.036293186850271865,-0.3743297570636778,0.4550215595037191,0.2976507924570333,-0.30253213959773667,1.0,0.19512705821131746,-0.3725135565860892,0.14571223874839156,-0.1968066692920332,-0.27911666920149986
fear,0.03520567642330093,-0.05935335553756621,-0.01790252831384122,-0.04658660149148528,0.041378478612917005,-0.3440705431413805,0.4586639391062748,0.2907684685544162,-0.30731130449095573,0.19512705821131746,1.0,-0.4534727830680117,0.4093553986938054,-0.18943640451931545,-0.3520002668191143
joy,-0.04575966077080655,0.07794524395970305,0.05723433035159627,0.0814748814883755,-0.04437608893826767,0.6256537079924682,-0.5270071177197647,-0.4152358510795478,0.19669241862456022,-0.3725135565860892,-0.4534727830680117,1.0,-0.4293581158757792,0.16954219238284954,0.33404265048604803
sadness,0.03575938978951895,-0.08834901971605331,-0.027538819730162936,-0.04271165082904441,0.06282892915215511,-0.42299143083807117,0.5509959296229924,0.1689060306983505,-0.25059249641377757,0.14571223874839156,0.4093553986938054,-0.4293581158757792,1.0,-0.17013266001454014,-0.32563678481323294
surprise,0.0038068426687648464,0.03929304358872245,0.024355477997855625,0.04899541105586098,-0.024087522098721417,0.22733090759942495,-0.14619126748790479,-0.14161516425275564,0.14920054996575247,-0.1968066692920332,-0.18943640451931545,0.16954219238284954,-0.17013266001454014,1.0,-0.08034590894327606
trust,-0.002108984761201755,0.05659314629440299,0.012969450599171059,0.030544260281363363,-0.043311929221505625,0.48955449944659846,-0.3894942211108048,-0.31999545390606726,0.06058463279718452,-0.27911666920149986,-0.3520002668191143,0.33404265048604803,-0.32563678481323294,-0.08034590894327606,1.0
